student_id,first_name,father_name,gender,program,faculty,department,field_of_study,admission_type,year,section,password,role
BDU1104029,Nahom,Demissie,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104030,Selam,Demissie,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104031,Alem,Bekele,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104032,Bethel,Bekele,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104033,Chaltu,Bekele,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104034,Dawit,Girma,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104035,Eden,Girma,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104036,Fikir,Girma,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104037,Genet,Hailu,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104038,Haymanot,Hailu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104039,Israel,Hailu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104040,Jember,Kebede,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104041,Kidan,Kebede,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104042,Liya,Kebede,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104043,Mamo,Mulugeta,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104044,Nardos,Mulugeta,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104045,Omar,Mulugeta,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104046,Petros,Yonas,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104047,Rahel,Yonas,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104048,Solomon,Yonas,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104049,Tigist,Zelalem,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104050,Urgessa,Zelalem,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104051,Wondimu,Zelalem,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104052,Yared,Belay,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104053,Zenebe,Belay,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104054,Birtukan,Belay,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104055,Elias,Desta,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104056,Hanna,Desta,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104057,Kebede,Desta,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104058,Meron,Fisseha,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104059,Nahom,Fisseha,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104060,Selam,Fisseha,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104061,Alem,Tesfaye,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104062,Bethel,Tesfaye,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104063,Chaltu,Tesfaye,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104064,Dawit,Mengistu,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104065,Eden,Mengistu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104066,Fikir,Mengistu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104067,Genet,Alemu,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104068,Haymanot,Alemu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104069,Israel,Alemu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104070,Jember,Gebre,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104071,Kidan,Gebre,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104072,Liya,Gebre,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104073,Mamo,Tadesse,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104074,Nardos,Tadesse,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104075,Omar,Tadesse,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104076,Petros,Haile,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104077,Rahel,Haile,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104078,Solomon,Haile,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104079,Tigist,Worku,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104080,Urgessa,Worku,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104081,Wondimu,Worku,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104082,Yared,Negash,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104083,Zenebe,Negash,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104084,Birtukan,Negash,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104085,Elias,Assefa,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104086,Hanna,Assefa,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104087,Kebede,Assefa,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104088,Meron,Demissie,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104089,Nahom,Demissie,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104090,Selam,Demissie,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104091,Alem,Bekele,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104092,Bethel,Bekele,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104093,Chaltu,Bekele,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104094,Dawit,Girma,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104095,Eden,Girma,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104096,Fikir,Girma,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104097,Genet,Hailu,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104098,Haymanot,Hailu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104099,Israel,Hailu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104100,Jember,Kebede,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104101,Kidan,Kebede,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104102,Liya,Kebede,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104103,Mamo,Mulugeta,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104104,Nardos,Mulugeta,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104105,Omar,Mulugeta,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104106,Petros,Yonas,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104107,Rahel,Yonas,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104108,Solomon,Yonas,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104109,Tigist,Zelalem,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104110,Urgessa,Zelalem,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104111,Wondimu,Zelalem,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104112,Yared,Belay,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104113,Zenebe,Belay,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104114,Birtukan,Belay,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104115,Elias,Desta,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104116,Hanna,Desta,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104117,Kebede,Desta,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104118,Meron,Fisseha,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104119,Nahom,Fisseha,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104120,Selam,Fisseha,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104121,Alem,Tesfaye,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104122,Bethel,Tesfaye,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104123,Chaltu,Tesfaye,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104124,Dawit,Mengistu,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104125,Eden,Mengistu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104126,Fikir,Mengistu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104127,Genet,Alemu,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104128,Haymanot,Alemu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104129,Israel,Alemu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104130,Jember,Gebre,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104131,Kidan,Gebre,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104132,Liya,Gebre,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104133,Mamo,Tadesse,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104134,Nardos,Tadesse,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104135,Omar,Tadesse,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104136,Petros,Haile,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104137,Rahel,Haile,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104138,Solomon,Haile,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104139,Tigist,Worku,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104140,Urgessa,Worku,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104141,Wondimu,Worku,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104142,Yared,Negash,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104143,Zenebe,Negash,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104144,Birtukan,Negash,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104145,Elias,Assefa,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104146,Hanna,Assefa,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104147,Kebede,Assefa,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104148,Meron,Demissie,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104149,Nahom,Demissie,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
BDU1104150,Selam,Demissie,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S2,ChangeMe123,
